,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
5074,テス,587.0,36.1,9544.847645429363,テスホールディングス,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
6632,JVCケンウッド,697.0,50.9,9544.381139489195,ＪＶＣケンウッド,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
6028,テクノプロHD,648.0,44.0,9543.272727272728,テクノプロ・ホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
7925,前澤化成工業,640.0,42.94,9538.891476478808,前澤化成工業,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
7066,ピアズ,576.0,34.8,9533.793103448277,ピアズ,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
3902,メディカル・データ・ビジョン,628.0,41.4,9526.183574879227,メディカル・データ・ビジョン,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3937,Ubicom,697.0,51.0,9525.666666666666,Ｕｂｉｃｏｍホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3104,富士紡,640.0,43.0,9525.581395348838,富士紡ホールディングス,プライム（内国株式）,繊維製品,素材・化学,産業＆建設,製造
8125,ワキタ,608.0,38.83,9520.061807880506,ワキタ,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4333,東邦システムサイエンス,603.0,38.2,9518.560209424084,東邦システムサイエンス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
5280,ヨシコン,602.0,38.1,9511.916010498688,ヨシコン,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
7229,ユタカ技研,641.0,43.2,9511.13425925926,ユタカ技研,スタンダード（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
3387,クリエイト・レストランツHD,660.0,45.8,9510.917030567685,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,小売業,小売,ヘルスケア＆消費財,サービス
6966,三井ハイテック,616.0,39.9,9510.175438596492,三井ハイテック,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
5009,富士興産,672.0,47.5,9507.031578947368,富士興産,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
7980,重松製作所,628.0,41.5,9503.22891566265,重松製作所,スタンダード（内国株式）,その他製品,情報通信・サービスその他,テクノロジー＆サービス,製造
6568,神戸天然物化学,631.0,41.9,9502.649164677805,神戸天然物化学,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
7235,東京ラヂエーター製造,634.0,42.3,9502.505910165486,東京ラヂエーター製造,スタンダード（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
5273,三谷セキサン,624.0,41.0,9496.975609756097,三谷セキサン,スタンダード（内国株式）,ガラス・土石製品,建設・資材,産業＆建設,製造
6862,ミナト,668.0,47.0,9494.127659574468,ミナトホールディングス,スタンダード（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
3776,ブロードバンドタワー,617.0,40.1,9493.491271820449,ブロードバンドタワー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
